PARTICLE_SIMULATION_DATA_2D
Width: 1000
Height: 1000
NumBalls: 100
97 558.724 718.728
98 692.401 529.118
99 751.865 294.769
Step 6 0.1
0 323.924 699.805
1 354.628 478.871
2 100.108 279.255
3 268.08 455.801
4 381.192 120.743
5 527.396 745.048
6 32.9602 790
7 252.895 699.52
8 416.755 304.82
9 473.33 747.691
10 191.906 457.039
11 139.797 569.469
12 103.45 601.438
13 304.197 214.761
14 252.872 567.363
15 106.244 417.404
16 331.514 676.162
17 233.225 41.799
18 159.644 254.323
19 342.221 407.049
20 113.956 311.681
21 163.889 499.37
22 85.8521 552.849
23 248.399 444.737
24 64.8892 619.907
25 70.7129 464.942
26 212.12 519.858
27 475.555 641.069
28 191.794 71.646
29 339.993 627.413
30 275.129 240.706
31 268.631 342.229
32 304.299 41.6307
33 160.811 120.029
34 485.453 562.97
35 339.251 323.292
36 322.382 293.395
37 397.316 76.9058
38 403.044 380.868
39 389.097 148.464
40 178.956 96.772
41 28.3596 603.847
42 515.149 420.706
43 401.602 349.792
44 466.634 272.303
45 55.5948 518.851
46 250.57 78.1899
47 376.588 698.003
48 137.288 729.212
49 528.494 449.44
50 876.062 578.559
51 600.708 40.647
52 921.738 349.977
53 508.892 704.101
54 957.872 577.579
55 776.167 487.527
56 810.436 329.266
57 736.221 370.244
58 522.803 598.637
59 943.7 507.716
60 734.851 552.698
61 902.967 458.662
62 974.22 351.112
63 610.837 123.47
64 681.875 365.79
65 675.53 265.101
66 806.053 624.64
67 983.505 185.905
68 675.956 12.726
69 826.954 427.821
70 680.214 684.876
71 868.408 608.272
72 779.86 98.3084
73 883.148 780.045
74 838.092 264.614
75 639.777 164.788
76 920.312 409.846
77 911.898 720.011
78 959.912 312.772
79 594.627 476.627
80 755.091 540.086
81 979.063 502.961
82 502.711 298.534
83 591.091 777.246
84 585.606 435.418
85 606.215 82.1737
86 714.79 783.312
87 861.328 663.632
88 937.131 190.364
89 961.379 88.9075
90 749.107 434.295
91 881.059 189.13
92 537.792 93.7445
93 927.023 328.265
94 841.309 45.4376
95 625.05 711.192
96 643.597 693.94
97 569.806 712.458
98 692.389 539.118
99 749.76 303.243
Step 7 0.1
0 314.286 709.365
1 356.886 488.612
2 91.0472 283.486
3 277.316 450
4 390.42 116.89
5 532.117 748.993
6 41.8639 785.448
7 247.294 691.236
8 409.774 315.437
9 486.837 749.589
10 195.346 466.429
11 130.684 565.35
12 107.106 592.13
13 315.759 210.389
14 259.899 560.247
15 106.094 424.677
16 332.673 679.951
17 233.712 51.7872
18 156.412 263.787
19 351.978 404.857
20 112.897 299.6
21 162.757 510.349
22 82.3089 548.316
23 245.881 445.986
24 57.0016 627.493
25 64.5346 472.805
26 218.675 512.305
27 481.127 632.765
28 190.315 61.756
29 332.817 634.377
30 268.531 242.621
31 277.725 338.069
32 295.243 45.8713
33 159.023 110.191
34 489.539 553.843
35 342.608 313.873
36 314.629 287.079
37 406.346 72.6083
38 410.851 374.619
39 385.988 138.959
40 186.737 103.054
41 16.3045 602.5
42 522.117 413.274
43 393.734 343.619
44 464.49 278.129
45 48.1958 525.578
46 244.613 86.2222
47 376.145 694.296
48 132.564 720.398
49 535.675 442.759
50 879.882 587.8
51 590.729 40.0025
52 930.381 354.162
53 503.544 712.551
54 967.23 574.055
55 779.874 499.43
56 807.142 319.824
57 745.875 366.797
58 514.343 603.969
59 951.264 501.175
60 728.979 544.094
61 898.599 462.358
62 974.188 341.112
63 609.049 113.631
64 673.347 361.08
65 665.468 269.847
66 797.376 628.849
67 990 182.099
68 685.144 16.6739
69 816.246 426.645
70 678.234 694.678
71 878.749 608.013
72 789.434 101.195
73 882.202 770.09
74 830.45 257.755
75 630.289 161.629
76 923.639 410.189
77 909.01 710.437
78 952.391 306.182
79 601.25 469.134
80 755.922 547.991
81 987.985 515.628
82 499.362 289.111
83 597.448 784.965
84 579.203 427.738
85 614.594 87.6317
86 722.224 776.624
87 854.042 656.783
88 943.625 182.76
89 954.223 95.8933
90 749.428 427.626
91 890.736 191.652
92 528.233 90.8092
93 935.702 329.104
94 846.168 36.697
95 629.849 719.045
96 647.71 699.17
97 580.889 706.187
98 692.377 549.118
99 747.655 311.718
Step 8 0.1
0 304.648 718.926
1 359.145 498.354
2 81.9863 287.716
3 288.814 445.199
4 399.647 113.037
5 536.839 752.939
6 50.7676 780.895
7 241.693 682.952
8 402.793 326.055
9 500.345 751.487
10 198.785 475.819
11 121.572 561.232
12 110.762 582.822
13 327.321 206.016
14 266.925 553.132
15 105.945 431.949
16 333.831 683.739
17 234.199 61.7753
18 153.18 273.25
19 361.734 402.665
20 111.838 287.518
21 161.624 521.328
22 78.7657 543.784
23 241.101 446.235
24 49.114 635.079
25 58.3563 480.668
26 225.229 504.753
27 486.698 624.461
28 188.836 51.866
29 325.64 641.341
30 261.933 244.537
31 286.818 333.908
32 286.187 50.1118
33 157.234 100.352
34 493.626 544.716
35 345.965 304.453
36 306.876 280.762
37 415.375 68.3107
38 418.658 368.37
39 382.879 129.455
40 194.517 109.337
41 15.7505 601.154
42 529.086 405.842
43 385.867 337.447
44 462.346 283.955
45 40.7968 532.305
46 238.657 94.2545
47 375.702 690.588
48 127.84 711.584
49 542.856 436.078
50 884.167 587.492
51 580.75 39.3579
52 938.491 360.632
53 498.196 721
54 976.589 570.532
55 783.58 511.333
56 803.849 310.382
57 755.529 363.349
58 505.883 609.301
59 958.828 494.634
