distance_m,x_m,y_m
2955.8762518372646,9747.0,11879.0
2967.0580555555553,9648.292098057918,11825.857905948546
2980.780277777778,9578.572351758836,11788.79030646763
2988.7486214068363,9525.0,11760.0
3003.2875000000004,9399.177020554329,11691.965547528578
3005.7836582283608,9377.0,11680.0
3011.503746861546,9327.0,11653.0
3017.6208333333334,9273.632302058295,11623.603510566123
3029.265277777778,9172.073874493875,11566.089414721308
3033.3024055422807,9137.0,11546.0
3046.998611111111,9018.48286502395,11477.524956149
3051.1013409434536,8983.0,11457.0
3061.998611111111,8888.776409203436,11402.650458118562
3069.2214100533456,8826.0,11367.0
3080.3319444444446,8728.388774175413,11312.660911230412
3084.55465766012,8692.0,11292.0
3087.6289137878825,8666.0,11277.0
3092.6430555555553,8624.650865839241,11253.462405061835
3105.0875,8525.779561074474,11199.179560391414
3115.6662200244687,8421.0,11141.0
3123.9541666666664,8319.423668990543,11083.528414202729
3133.1034548297803,8215.0,11024.0
3149.5541666666663,8113.48669351479,10965.724602009472
3155.596402696855,8076.0,10944.0
3172.1874999999995,7934.715766536356,10861.622088735248
3176.6637638953625,7895.0,10838.0
3191.3778450164027,7771.0,10762.0
3191.7875,7767.604368315437,10759.856820281977
3211.5208333333335,7603.801453045349,10652.081451686185
3214.41608811477,7579.0,10635.0
3231.537222222222,7428.312796928458,10527.150742171068
3235.952404704153,7391.0,10499.0
3250.9925826808308,7273.0,10405.0
3254.9483333333333,7244.092419429425,10380.94436257793
3262.8168892749236,7182.0,10329.0
3282.1483333333326,6960.367831396665,10149.417700218117
3286.652440547138,6918.0,10115.0
3305.948333333333,6829.836176967302,10040.670233672377
3322.5202953168773,6724.0,9947.0
3339.8621155303917,6502.0,9754.0
3343.959444444444,6467.2856116776065,9723.822151465676
3367.910791419044,6384.0,9651.0
3379.070555555555,6308.267957343642,9584.875270962064
3390.743035205876,6212.0,9501.0
3393.1149999999993,6193.27564232729,9484.7196272389
3410.7261111111106,6060.864789450564,9369.919785933569
3413.636696440825,6039.0,9351.0
3422.4682880549967,5972.0,9293.0
3424.859444444444,5953.7525979753555,9277.136730563656
3440.2573170695146,5838.0,9176.0
3453.392777777777,5747.908855162215,9097.589305477866
3461.7951766479564,5677.0,9036.0
3478.437222222222,5480.613779653424,8865.423020336133
3488.6585842793947,5380.0,8778.0
3492.7927777777777,5352.237004794292,8753.861124105333
3515.7227498122525,5271.0,8683.0
3518.0705555555555,5258.6929578737945,8672.255844871479
3532.515,5155.032776852882,8581.786544894478
