time_s,distance_m,x_m,y_m,speed_kmh
11.196,858.1063888888889,4799.750230803304,5888.178391534423,146.0
11.515,869.4501756732034,4923.0,5901.0,128.0562464
11.516,869.4841666666666,4923.347496169698,5900.998458049174,128.0
11.754,877.4161785032018,4998.0,5894.0,122.0499968
11.876,881.3841666666666,5035.81356808847,5885.593005833303,119.0
12.036,886.4952777777777,5085.363293793795,5869.717282342963,115.0
12.114,888.9309340018867,5108.0,5860.0,113.60714057142857
12.274,893.8014148042632,5151.0,5836.0,110.74999771428571
12.316,895.0508333333332,5161.590302117185,5828.781518695072,110.0
12.434,898.4959585288943,5190.0,5807.0,107.7874976
12.595,903.1105287112247,5226.0,5776.0,104.7687488
12.636,904.2952777777776,5234.451171337653,5767.816986732273,104.0
12.794,908.9057123288665,5265.0,5733.0,104.9875008
12.956,913.7174999999999,5296.065397057063,5685.132033910595,106.0
13.134,919.1162305496974,5325.0,5630.0,108.2250016
13.356,926.0508333333332,5345.327016414619,5576.9174823357525,111.0
13.495,930.5321079738235,5355.0,5541.0,113.52727389090909
13.674,936.4594760817231,5368.0,5484.0,116.7818205090909
13.796,940.5952777777777,5374.934137277723,5443.368094018905,119.0
13.934,945.3741210856722,5381.0,5396.0,124.1750048
13.956,946.1508333333333,5381.855047531795,5388.231857001549,125.0
14.074,950.3976834181107,5386.0,5346.0,128.54000384
14.156,953.4286111111111,5388.609873546581,5317.00949981675,131.0
14.275,957.9504964982536,5393.0,5272.0,136.2062528
14.316,959.5619444444444,5395.026038014722,5254.350954627928,138.0
14.556,969.3619444444444,5411.029564351766,5138.477271392959,147.0
14.615,971.6547197398849,5415.0,5115.0,144.541664
14.953,983.5420861452146,5444.0,5019.0,130.45832533333333
15.036,986.2952777777778,5459.304398810838,4987.806930875877,127.0
15.194,991.4235895471107,5494.0,4925.0,121.0749952
15.356,996.5175,5524.910801323015,4880.103769986046,115.0
15.596,1003.7175000000001,5565.338686528274,4839.164018275614,108.0
15.634,1004.810072024945,5572.0,4833.0,107.0499968
15.954,1013.5641962187763,5633.0,4783.0,99.0499968
15.956,1013.6175000000001,5633.42631219793,4782.707485692565,99.0
16.116,1017.8397222222222,5669.32887397772,4760.574939728145,95.0
