time_s,distance_m,x_m,y_m,speed_kmh
20.636,1319.601111111111,-129.3738958401722,12225.694724127625,282.0
20.671,1322.3739991150155,-121.0,12245.0,282.4375008
20.871,1338.3045376353284,-56.0,12390.0,284.9375008
21.071,1354.3696062194463,46.0,12589.0,287.4375008
21.116,1358.0011111111112,66.99488462975563,12627.267995888575,288.0
21.356,1377.467777777778,153.7124769888533,12766.447656048162,292.0
21.551,1393.3833141803125,220.0,12862.0,293.6250005333333
21.596,1397.067777777778,236.8430792515229,12886.636065244114,294.0
21.711,1406.5032439433521,297.0,12968.0,294.9583338666667
21.836,1416.8011111111111,423.41538594349555,13117.39237399741,296.0
21.871,1419.6943634956103,457.0,13156.0,296.37500068571427
22.116,1440.0566666666668,581.8568924518745,13289.92660572007,299.0
22.351,1459.7284322766134,661.0,13353.0,300.60227316363637
22.531,1474.8627336807967,777.0,13451.0,301.8295441454545
22.556,1476.967777777778,793.849658246351,13464.608548342901,302.0
22.751,1493.420518624671,924.0,13563.0,303.6250005333333
22.796,1497.2344444444445,954.1723970680534,13584.55637537448,304.0
22.951,1510.434244718796,1064.0,13659.0,305.05561912776346
23.111,1524.1621360151657,1200.0,13743.0,306.14529003552616
23.677,1573.0983333333334,1716.7442792629279,13996.167099006781,310.0
23.81,1584.5744382940363,1834.0,14041.0,310.3694442666667
24.037,1604.1983333333333,2025.8087757291112,14103.188994725277,311.0
24.29,1626.2539782953966,2217.0,14154.0,313.3718744
24.357,1632.1094444444443,2261.651559499348,14164.734272609321,314.0
24.65,1657.7439970579715,2456.0,14205.0,314.9156248
24.677,1660.1094444444443,2478.0707209744332,14209.158513560007,315.0
24.75,1666.507991650438,2543.0,14221.0,315.2027776
25.037,1691.7094444444442,2871.521968365548,14272.821591148175,316.0
25.07,1694.6121142844568,2908.0,14278.0,316.16499968
25.237,1709.3205555555553,3074.6852924274945,14299.67974568091,317.0
25.397,1723.4538888888887,3208.116183018572,14314.253317766555,318.0
25.49,1731.6902755121484,3276.0,14321.0,318.5812496
25.557,1737.6316666666664,3320.562891009682,14325.10689242515,319.0
25.851,1763.7608188574593,3506.0,14340.0,319.9187496
25.877,1766.076111111111,3526.2774582976745,14341.68722265643,320.0
26.011,1778.0215543857973,3648.0,14352.0,320.8374992
26.037,1780.3427777777777,3676.5239287573863,14354.415074573264,321.0
26.196,1794.5644444444445,3880.703674370912,14371.645485652149,322.0
26.271,1801.286459791875,3968.0,14379.0,322.2083335111111
26.556,1826.8644444444444,4188.500074159736,14397.380829361702,323.0
26.651,1835.375179281094,4261.0,14403.0,322.76250048
26.851,1853.2622423296662,4438.0,14416.0,322.26250048
26.956,1862.642222222222,4523.0248266159615,14421.985895029942,322.0
27.071,1872.9082544498165,4633.0,14429.0,321.71249984
27.331,1896.0838604978671,4989.0,14449.0,321.06250048
27.356,1898.3088888888888,5012.964483784328,14450.334377490795,321.0
27.636,1923.1977777777774,5143.819763997352,14457.285446010226,320.0
27.691,1928.0859599662895,5185.0,14459.0,320.0
27.836,1940.9755555555553,5349.65721830197,14465.535444392804,320.0
27.951,1951.1995952896534,5486.0,14471.0,319.42499968
28.036,1958.6977777777777,5565.644542228133,14474.357196604538,319.0
28.351,1985.4929658246988,5767.0,14483.0,306.2031224
28.356,1985.8977777777777,5770.3902989995595,14483.116624688135,306.0
28.551,2001.0672243388074,5927.0,14488.0,282.43749226666665
28.596,2004.3644444444442,5976.803416922471,14489.621540874878,277.0
28.751,2015.021628762561,6163.0,14496.0,247.937488
28.756,2015.342222222222,6167.984176488522,14496.180433577001,247.0
29.156,2036.7866666666664,6360.432624429986,14505.651197151747,193.0
29.171,2037.5064895961298,6365.0,14506.0,191.8750144
29.551,2054.510351880071,6485.0,14519.0,163.3749952
29.596,2056.342222222222,6501.252820571929,14521.671492757268,160.0
29.791,2063.827049733797,6577.0,14537.0,138.65670261705955
29.797,2064.047222222222,6579.412254576304,14537.585233639094,138.0
29.957,2069.736111111111,6644.7807257318445,14555.810612727935,128.0
30.01,2071.5676436106955,6666.0,14563.0,126.41000192
30.157,2076.5138888888887,6722.454899678634,14585.997857770904,122.0
30.43,2085.0763633417864,6807.0,14631.0,115.795456
30.597,2090.2027777777776,6835.08914862977,14650.651386921025,112.0
30.79,2096.15858699621,6859.0,14677.0,111.03500032
30.797,2096.369444444444,6860.023383939515,14678.293984504118,111.0
31.03,2103.1663746472327,6897.0,14733.0,105.1750016
31.037,2103.369444444444,6897.992519668789,14734.875178481521,105.0
31.21,2108.4251673845647,6920.0,14784.0,106.23571382857143
31.317,2111.691666666666,6934.211216503086,14815.857111505582,107.0
31.41,2114.663979100113,6948.0,14843.0,110.09999786666667
31.65,2122.6943331891025,6992.0,14906.0,118.09999786666667
31.677,2123.5916666666662,6997.680685462092,14912.497893041993,119.0
31.81,2127.98367373663,7028.0,14943.0,119.0
31.837,2128.880555555555,7034.7104885755325,14948.956643257592,119.0
31.997,2134.2583333333328,7077.55537269151,14982.489748564794,121.0
32.07,2136.725005919358,7096.0,14996.0,121.36499968
32.197,2141.0361111111106,7124.864483328258,15016.436451160818,122.0
32.29,2144.221005766315,7160.0,15035.0,123.1624992
32.357,2146.5472222222215,7199.425513361971,15052.73802889452,124.0
32.451,2149.8738073596587,7257.0,15077.0,125.67856914285714
32.637,2156.580555555555,7299.893754642812,15092.624148744837,129.0
32.771,2161.4300188911875,7320.0,15097.0,130.6749984
