distance_m,x_m,y_m
2890.1316666666667,4310.9428014106525,13021.249331859768
2897.4224800704515,4383.0,13031.0
2910.731666666666,4515.489290085884,13048.661756381043
2916.3115806746046,4571.0,13056.0
2931.3316666666665,4719.678993428293,13075.349427951416
2935.194277937562,4758.0,13080.0
2951.931666666667,4924.732475555737,13097.976256383397
2954.0768255425864,4946.0,13100.0
2972.531666666667,5130.491071669179,13113.800860358331
2972.9615403856874,5135.0,13114.0
2991.8552015621844,5339.0,13114.0
2993.1316666666667,5352.057367809388,13113.025874626355
3010.396023050442,5520.0,13086.0
3013.2475000000004,5548.7453697883275,13079.326605727974
3028.768376367963,5707.0,13034.0
3029.9975000000004,5718.712259810243,13029.933173267385
3046.4146566555237,5864.0,12968.0
3049.1975,5888.205479864217,12955.785549456727
3063.9202253838293,6015.0,12882.0
3068.264166666667,6051.234774387132,12856.73665092167
3081.1563162224793,6155.0,12773.0
3086.9975000000004,6199.4861012701695,12732.23166441516
3098.312356900953,6280.0,12650.0
3105.7308333333335,6328.063665010695,12594.898052194007
3115.489209245146,6386.0,12519.0
3124.464166666667,6434.485341961978,12443.241077481964
3132.6563888697065,6475.0,12370.0
3143.1975000000007,6522.187286556094,12271.404224135422
3149.7691131358797,6549.0,12209.0
3161.997500000001,6594.023539850627,12092.972308031092
3167.022089938094,6611.0,12045.0
3180.864166666667,6653.91129281541,11911.532863250328
3184.3307723974876,6664.0,11878.0
3199.7975000000006,6706.217820376218,11728.342759279622
3201.69304887171,6711.0,11710.0
3217.6038142549937,6748.0,11556.0
3218.7975000000006,6750.650230927491,11544.429211523086
3235.19641552916,6786.0,11385.0
3237.9975000000004,6791.88643929546,11357.57563350442
3252.784371799038,6822.0,11212.0
3257.1975000000007,6830.4395838291675,11168.717215432132
3270.517093479835,6854.0,11039.0
3276.5975000000008,6863.632689027831,10980.12114948959
3288.3839496628866,6881.0,10864.0
3296.130833333334,6892.252225453922,10783.591305567606
3306.356154907925,6906.0,10678.0
3315.7975,6916.377118000933,10588.145852580967
3324.447774893566,6925.0,10507.0
3335.5975000000003,6936.236942800139,10397.232600330446
3342.623815709586,6943.0,10327.0
3355.464166666667,6954.0865393354525,10199.495351836504
3360.8684607664254,6958.0,10146.0
3375.464166666667,6966.151680007207,10001.404193903792
3379.222670168634,6968.0,9964.0
3395.5308333333332,6975.294951424789,9800.910490871582
3397.624030055578,6976.0,9780.0
3415.664166666667,6979.917563961768,9600.206535231633
3416.085176093046,6980.0,9596.0
3434.6640362857183,6984.0,9410.0
3435.930833333334,6984.292949534891,9397.374522553722
3453.235222883736,6989.0,9225.0
3456.1975,6990.117746950643,9195.12863071126
3471.913610982057,6998.0,9036.0
3476.5975000000003,7001.081351856257,8989.339272096982
3490.667677432668,7013.0,8851.0
3497.064166666667,7020.258464750696,8788.253789709031
3509.423901368305,7038.0,8667.0
3517.5308333333337,7052.636279457242,8587.565686632777
3528.2212156198893,7075.0,8483.0
3538.0641666666666,7097.992916323581,8386.684712851815
3547.0455857251163,7121.0,8299.0
3558.5975,7153.379367905256,8187.070174415161
3565.8821435546843,7175.0,8117.0
3575.764166666667,7205.436391781898,8022.641860579552
3584.829189523187,7235.0,7937.0
3596.4974999999995,7276.1941842649785,7827.674276220233
3603.8188150322776,7303.0,7759.0
3617.1641666666665,7352.235470307061,7633.661276876933
3622.7849858583304,7373.0,7581.0
3637.9641666666666,7428.606910848562,7438.763935104878
3641.866219990572,7442.0,7402.0
3658.6974999999993,7492.73733003936,7243.4433543945715
3660.832412159626,7498.0,7224.0
3678.964166666666,7530.481072797366,7063.83803011782
3679.381643732288,7531.0,7060.0
3697.5138500320836,7542.0,6883.0
3698.830833333333,7541.5837177614485,6869.687677180293
3715.5565573038302,7523.0,6698.0
3718.4975,7518.339903434144,6667.714330438509
3733.484252023348,7490.0,6514.0
3738.030833333333,7479.963177418674,6467.847811362646
3751.314761579959,7448.0,6335.0
3757.4974999999995,7432.928725221551,6275.017237206013
3767.739967876328,7408.0,6176.0
3777.0975,7384.973619945655,6080.39643124686
3785.4732307622035,7366.0,5995.0
3796.0308333333332,7347.18632450304,5895.034496846274
3802.5737831383963,7338.0,5833.0
3814.3641666666663,7325.855986567367,5715.52242607007
3819.2923730958055,7323.0,5667.0
3832.430833333333,7322.9224575957105,5542.321039985745
3835.7431506351068,7325.0,5511.0
3849.830833333333,7345.005814824939,5377.006707604827
3851.620664557401,7349.0,5360.0
3866.8308333333325,7396.648211017788,5215.324489850126
3867.178134170528,7398.0,5212.0
3882.2102400887784,7467.0,5068.0
3883.2308333333326,7472.293935333521,5058.39615811048
3897.1900654012684,7550.0,4929.0
3899.564166666666,7563.62662833455,4906.802144002232
3912.0118582526607,7632.0,4794.0
3915.6308333333327,7648.401624884487,4765.561004312376
3926.1954882086748,7690.0,4687.0
3930.897499999999,7709.392571732815,4646.338266096867
3939.8599098448353,7745.0,4562.0
3945.6308333333327,7762.878914653642,4508.117663167313
3953.0940172679125,7780.0,4438.0
3959.830833333333,7789.9131534054995,4372.671263615971
3965.874587477062,7794.0,4313.0
3973.564166666666,7792.184884067263,4237.081391626175
3978.4084370015917,7787.0,4189.0
3987.230833333333,7769.696678565135,4099.938155747437
3990.9158960547593,7760.0,4063.0
4000.830833333333,7727.743473671802,3966.3280014835036
4003.3941917054563,7718.0,3942.0
4014.630833333333,7669.029105204183,3838.893874375681
4016.0980487978095,7662.0,3826.0
4029.24555631242,7593.0,3716.0
4031.353055555555,7580.842469055697,3699.084100462768
4042.546052353143,7511.0,3613.0
4043.5247222222215,7504.488659913137,3605.9126643047666
4056.190585350091,7414.0,3521.0
